"t","clock","temp","PSComputerName","RunspaceId","PSShowComputerName","PSSourceJobInstanceId"
"115.93","131","82","localhost","d819effa-44f1-434e-b5b1-e24e06ca73e6","False","993d8cfe-57fa-4d30-9ce7-b89bfc3f2fb3"
"117.85","131","82","localhost","d819effa-44f1-434e-b5b1-e24e06ca73e6","False","993d8cfe-57fa-4d30-9ce7-b89bfc3f2fb3"
"119.76","142.9","82","localhost","d819effa-44f1-434e-b5b1-e24e06ca73e6","False","993d8cfe-57fa-4d30-9ce7-b89bfc3f2fb3"
"121.67","139.4","82","localhost","d819effa-44f1-434e-b5b1-e24e06ca73e6","False","993d8cfe-57fa-4d30-9ce7-b89bfc3f2fb3"
"123.57","125.4","83","localhost","d819effa-44f1-434e-b5b1-e24e06ca73e6","False","993d8cfe-57fa-4d30-9ce7-b89bfc3f2fb3"
"125.47","131","82","localhost","d819effa-44f1-434e-b5b1-e24e06ca73e6","False","993d8cfe-57fa-4d30-9ce7-b89bfc3f2fb3"
"127.38","134.5","83","localhost","d819effa-44f1-434e-b5b1-e24e06ca73e6","False","993d8cfe-57fa-4d30-9ce7-b89bfc3f2fb3"
"129.29","136.9","82","localhost","d819effa-44f1-434e-b5b1-e24e06ca73e6","False","993d8cfe-57fa-4d30-9ce7-b89bfc3f2fb3"
"131.19","127.7","82","localhost","d819effa-44f1-434e-b5b1-e24e06ca73e6","False","993d8cfe-57fa-4d30-9ce7-b89bfc3f2fb3"
"133.08","127","82","localhost","d819effa-44f1-434e-b5b1-e24e06ca73e6","False","993d8cfe-57fa-4d30-9ce7-b89bfc3f2fb3"
"135.01","131","83","localhost","d819effa-44f1-434e-b5b1-e24e06ca73e6","False","993d8cfe-57fa-4d30-9ce7-b89bfc3f2fb3"
"136.91","138.5","82","localhost","d819effa-44f1-434e-b5b1-e24e06ca73e6","False","993d8cfe-57fa-4d30-9ce7-b89bfc3f2fb3"
"138.82","137.6","83","localhost","d819effa-44f1-434e-b5b1-e24e06ca73e6","False","993d8cfe-57fa-4d30-9ce7-b89bfc3f2fb3"
"140.7","121.7","82","localhost","d819effa-44f1-434e-b5b1-e24e06ca73e6","False","993d8cfe-57fa-4d30-9ce7-b89bfc3f2fb3"
"142.62","130.2","82","localhost","d819effa-44f1-434e-b5b1-e24e06ca73e6","False","993d8cfe-57fa-4d30-9ce7-b89bfc3f2fb3"
"144.52","132.7","83","localhost","d819effa-44f1-434e-b5b1-e24e06ca73e6","False","993d8cfe-57fa-4d30-9ce7-b89bfc3f2fb3"
"146.42","145.2","82","localhost","d819effa-44f1-434e-b5b1-e24e06ca73e6","False","993d8cfe-57fa-4d30-9ce7-b89bfc3f2fb3"
"148.31","127.7","82","localhost","d819effa-44f1-434e-b5b1-e24e06ca73e6","False","993d8cfe-57fa-4d30-9ce7-b89bfc3f2fb3"
"150.17","130.6","83","localhost","d819effa-44f1-434e-b5b1-e24e06ca73e6","False","993d8cfe-57fa-4d30-9ce7-b89bfc3f2fb3"
"152.07","130.1","83","localhost","d819effa-44f1-434e-b5b1-e24e06ca73e6","False","993d8cfe-57fa-4d30-9ce7-b89bfc3f2fb3"
"153.98","149.1","82","localhost","d819effa-44f1-434e-b5b1-e24e06ca73e6","False","993d8cfe-57fa-4d30-9ce7-b89bfc3f2fb3"
"155.88","137.4","82","localhost","d819effa-44f1-434e-b5b1-e24e06ca73e6","False","993d8cfe-57fa-4d30-9ce7-b89bfc3f2fb3"
"157.75","125.3","83","localhost","d819effa-44f1-434e-b5b1-e24e06ca73e6","False","993d8cfe-57fa-4d30-9ce7-b89bfc3f2fb3"
"159.61","132.2","83","localhost","d819effa-44f1-434e-b5b1-e24e06ca73e6","False","993d8cfe-57fa-4d30-9ce7-b89bfc3f2fb3"
"161.51","133.2","82","localhost","d819effa-44f1-434e-b5b1-e24e06ca73e6","False","993d8cfe-57fa-4d30-9ce7-b89bfc3f2fb3"
"163.42","146.4","83","localhost","d819effa-44f1-434e-b5b1-e24e06ca73e6","False","993d8cfe-57fa-4d30-9ce7-b89bfc3f2fb3"
"165.33","139.9","83","localhost","d819effa-44f1-434e-b5b1-e24e06ca73e6","False","993d8cfe-57fa-4d30-9ce7-b89bfc3f2fb3"
"167.25","135.5","83","localhost","d819effa-44f1-434e-b5b1-e24e06ca73e6","False","993d8cfe-57fa-4d30-9ce7-b89bfc3f2fb3"
"169.14","130.5","83","localhost","d819effa-44f1-434e-b5b1-e24e06ca73e6","False","993d8cfe-57fa-4d30-9ce7-b89bfc3f2fb3"
"171.05","132.4","82","localhost","d819effa-44f1-434e-b5b1-e24e06ca73e6","False","993d8cfe-57fa-4d30-9ce7-b89bfc3f2fb3"
"172.98","143.4","83","localhost","d819effa-44f1-434e-b5b1-e24e06ca73e6","False","993d8cfe-57fa-4d30-9ce7-b89bfc3f2fb3"
"174.87","134.7","82","localhost","d819effa-44f1-434e-b5b1-e24e06ca73e6","False","993d8cfe-57fa-4d30-9ce7-b89bfc3f2fb3"
"176.73","127.6","83","localhost","d819effa-44f1-434e-b5b1-e24e06ca73e6","False","993d8cfe-57fa-4d30-9ce7-b89bfc3f2fb3"
"178.64","131","83","localhost","d819effa-44f1-434e-b5b1-e24e06ca73e6","False","993d8cfe-57fa-4d30-9ce7-b89bfc3f2fb3"
"180.55","137.5","83","localhost","d819effa-44f1-434e-b5b1-e24e06ca73e6","False","993d8cfe-57fa-4d30-9ce7-b89bfc3f2fb3"
