t,cpu_pct,perf_pct,mhz,tx_MBps,rx_MBps
1.30,3.66,91.01,1,696,0.0,0.0
2.37,3.39,117.68,1,696,0.0,0.0
66.06,8.30,188.75,1,696,1,829.1,1.8
67.07,11.22,188.89,1,696,1,880.8,1.9
68.08,6.31,188.74,1,696,1,869.1,1.8
69.09,7.56,188.84,1,696,1,860.4,1.8
70.10,7.79,188.80,1,696,1,859.3,1.8
71.11,7.76,188.02,1,696,1,812.9,1.8
72.12,8.12,188.87,1,696,1,868.3,1.9
73.13,9.46,188.75,1,696,1,824.7,1.8
74.15,8.86,188.83,1,696,1,855.7,1.8
75.16,9.30,188.70,1,696,1,839.4,1.8
76.17,8.02,188.86,1,696,1,847.2,1.8
77.18,9.40,188.15,1,696,1,767.9,1.7
78.20,7.14,188.89,1,696,1,841.1,1.8
79.20,6.32,188.81,1,696,1,864.2,1.8
80.21,9.92,188.76,1,696,1,852.2,1.8
81.22,10.72,188.72,1,696,1,856.3,1.8
82.23,5.65,188.79,1,696,1,863.2,1.9
83.24,8.75,188.41,1,696,1,788.2,1.8
84.25,8.26,188.78,1,696,1,853.1,1.8
85.26,8.49,188.86,1,696,1,876.9,1.9
86.27,11.01,188.87,1,696,1,849.5,1.8
87.28,11.53,188.72,1,696,1,829.5,1.8
88.29,7.46,188.86,1,696,1,853.3,1.8
89.30,8.28,188.88,1,696,1,866.3,1.8
90.31,8.94,188.91,1,696,1,873.3,1.9
91.33,9.62,188.85,1,696,1,840.2,1.8
92.34,9.26,188.72,1,696,1,847.5,1.8
93.35,8.50,188.88,1,696,1,841.1,1.8
94.36,7.62,188.77,1,696,1,854.1,1.8
95.37,8.16,187.79,1,696,1,772.7,1.8
96.39,7.43,188.83,1,696,1,846.3,1.8
97.40,9.52,188.79,1,696,1,842.0,1.8
98.41,7.18,188.87,1,696,1,859.8,1.8
99.42,8.47,188.81,1,696,1,836.0,1.8
100.44,9.31,188.76,1,696,1,862.7,1.8
101.45,10.43,188.83,1,696,1,837.6,1.8
102.46,9.03,188.81,1,696,1,836.8,1.8
103.47,7.95,188.66,1,696,1,843.2,1.8
104.50,9.56,188.75,1,696,1,840.8,1.8
105.51,9.66,188.86,1,696,1,841.4,1.8
106.52,6.54,188.83,1,696,1,856.2,1.8
107.52,10.45,188.06,1,696,1,814.7,1.8
108.53,9.77,188.91,1,696,1,894.2,1.9
109.55,8.25,188.84,1,696,1,864.6,1.8
110.56,14.04,188.57,1,696,1,886.9,1.9
111.58,8.14,188.77,1,696,1,840.1,1.8
112.58,8.42,188.67,1,696,1,840.9,1.8
113.60,7.61,188.22,1,696,1,842.7,1.8
114.61,10.02,188.33,1,696,1,842.4,1.8
115.62,7.19,188.34,1,696,1,847.7,1.8
116.64,7.40,184.28,1,696,1,793.7,1.8
117.65,15.39,167.13,1,696,1,846.9,1.8
118.66,12.28,173.58,1,696,1,833.0,1.8
119.68,16.23,168.22,1,696,1,833.8,1.8
120.68,9.74,177.83,1,696,1,849.5,1.8
121.69,13.40,172.41,1,696,1,886.7,1.9
122.71,9.60,174.51,1,696,1,864.3,1.8
123.72,10.74,183.83,1,696,1,837.0,1.8
124.73,8.28,183.68,1,696,1,822.9,1.8
125.74,11.31,181.75,1,696,1,764.1,1.7
126.75,7.29,183.80,1,696,1,839.2,1.8
127.76,8.68,183.28,1,696,1,857.2,1.8
128.78,11.14,180.15,1,696,1,857.1,1.8
129.80,8.32,183.15,1,696,1,877.5,1.9
130.80,8.56,185.00,1,696,1,818.9,1.8
131.82,9.96,182.42,1,696,1,822.0,1.8
132.83,8.70,180.94,1,696,1,890.6,1.9
133.84,11.08,184.56,1,696,1,834.5,1.8
134.85,9.00,184.49,1,696,1,871.5,1.9
135.87,9.80,181.86,1,696,1,869.5,1.9
136.88,10.24,183.35,1,696,1,887.5,1.9
137.89,7.84,185.12,1,696,1,836.7,1.8
138.90,10.26,180.22,1,696,1,841.8,1.8
139.91,10.52,183.82,1,696,1,845.7,1.8
140.93,8.66,184.37,1,696,1,833.1,1.8
